address,neighborhood,list_price,lat,lon,estimator_low,estimator_final,estimator_high,estimator_range,delta_list_minus_estimator,delta_estimator_minus_list,confidence_score,confidence_label,error
15704 91 AV NW,Meadowlark Park,449900.0,53.5259008,-113.5924746,374664.03,448502.27,522340.51,147676.47999999998,1397.7299999999814,-1397.7299999999814,99.0,high,
9412 156 ST NW,Terwillegar Towne,399900.0,53.4464624,-113.590134,741070.08,1017953.41,1294836.74,553766.66,-618053.41,618053.41,79.0,medium,
#209 8912 156 ST NW,Meadowlark Park,184900.0,53.5213129,-113.5905288,348590.13,458671.22,568752.31,220162.18000000005,-273771.22,273771.22,87.0,high,
#406 9120 156 ST NW,Terwillegar Towne,219990.0,53.4464624,-113.590134,741070.08,1017953.41,1294836.74,553766.66,-797963.41,797963.41,79.0,medium,
15640 92 AV NW,Ottewell,499999.0,53.5267977,-113.4282158,341207.13,448956.75,556706.37,215499.24,51042.25,-51042.25,99.0,high,
#410 9120 156 ST NW,Terwillegar Towne,162500.0,53.4464624,-113.590134,741070.08,1017953.41,1294836.74,553766.66,-855453.41,855453.41,79.0,medium,
4636 18 AVENUE SW,Glenridding Heights,619900.0,53.4179325,-113.6108166,374825.54,480594.31,586363.08,211537.53999999998,139305.69,-139305.69,99.0,high,
4907 17 AVENUE SW,Summerside,669900.0,53.4188979,-113.4464279,595826.03,783981.62,972137.21,376311.17999999993,-114081.62,114081.62,99.0,high,
4651 17 ST SW SW,Terra Losa,749000.0,53.5327149,-113.6201073,7201607.19,9475798.93,11749990.67,4548383.4799999995,-8726798.93,8726798.93,99.0,high,
1450 34 ST SW,Anthony Henday South East,2800786.0,53.43363,-113.3940298,457906.07,628991.86,800077.65,342171.58,2171794.14,-2171794.14,79.0,medium,
6808 11 AV NW,Menisa,400000.0,53.4393124,-113.4423108,375065.77,462213.38,549360.99,174295.21999999997,-62213.380000000005,62213.380000000005,99.0,high,
1310 72 ST NW,Menisa,399000.0,53.4440261,-113.4453844,367263.61,447160.62,527057.63,159794.02000000002,-48160.619999999995,48160.619999999995,99.0,high,
1526 69 ST NW NW,Menisa,189900.0,53.4453434,-113.4397388,366771.16,463825.37,560879.58,194108.41999999998,-273925.37,273925.37,87.0,high,
6931 14 AV NW,Menisa,479900.0,53.4435289,-113.4410381,371116.34,436970.83,502825.32,131708.97999999998,42929.169999999984,-42929.169999999984,99.0,high,
936 KNOTTWOOD RD S NW,Menisa,489000.0,53.4421359,-113.4485474,368762.27,433041.18,497320.09,128557.82,55958.82000000001,-55958.82000000001,99.0,high,
6096 MILL WOODS RD S NW,Meyokumin,210000.0,53.4457889,-113.4200894,395501.41,520396.59,645291.77,249790.36000000004,-310396.59,310396.59,87.0,high,
#14 1820 56 ST NW,Fulton Place,235000.0,53.5460126,-113.4231344,365883.95,445921.96,525959.97,160076.01999999996,-210921.96000000002,210921.96000000002,99.0,high,
5418 17A AV NW,Meyokumin,489000.0,53.4474207,-113.4250219,377250.45,452236.08,527221.71,149971.25999999995,36763.919999999984,-36763.919999999984,99.0,high,
6030 MILL WOODS RD S NW,Meyokumin,284900.0,53.4457889,-113.4200894,395501.41,520396.59,645291.77,249790.36000000004,-235496.59000000003,235496.59000000003,87.0,high,
5504 18 AV NW,Meyokumin,499900.0,53.4483086,-113.4253258,311815.66,410283.76,508751.86,196936.2,89616.23999999999,-89616.23999999999,99.0,high,
5308 20 AV NW,Meyokumin,368000.0,53.4510492,-113.4230016,322393.36,401336.64,480279.92,157886.56,-33336.640000000014,33336.640000000014,99.0,high,
5118 17A AV NW,Meyokumin,492000.0,53.4473314,-113.4210842,336787.37,411895.14,487002.91,150215.53999999998,80104.85999999999,-80104.85999999999,99.0,high,
2437 89 ST NW,Meyonohk,539000.0,53.4535246,-113.4629894,319045.61,402936.48,486827.35,167781.74,136063.52000000002,-136063.52000000002,99.0,high,
1660 LAKEWOOD RD S NW,Meyonohk,194999.0,53.4541744,-113.4601159,212411.45,248634.68,284857.91,72446.45999999996,-53635.67999999999,53635.67999999999,87.0,high,
2655 89 ST NW,McIntyre Industrial,419900.0,53.4861728,-113.4641037,4212478.2,5786371.16,7360264.12,3147785.92,-5366471.16,5366471.16,79.0,medium,
8816 25A AV NW,Meyonohk,399850.0,53.4552015,-113.4642065,303579.96,399447.31,495314.66,191734.69999999995,402.6900000000023,-402.6900000000023,99.0,high,
8005 27 AV NW,Meyonohk,209900.0,53.4575547,-113.4549587,199841.24,230551.7,261262.16,61420.92000000001,-20651.70000000001,20651.70000000001,87.0,high,
