address,beds,baths,square_footage,price,link,neighborhood,lat,long
13020 186 AV NW,4,3,2314,"$650,000",https://www.realtor.ca/real-estate/28892415/13020-186-av-nw-edmonton-goodridge-corners,Goodridge Corners,53.6476900,-113.5485732
13016 186 AV NW,4,3,2314,"$650,000",https://www.realtor.ca/real-estate/28892380/13016-186-av-nw-edmonton-goodridge-corners,Goodridge Corners,53.6476900,-113.5485732
610 ALBANY WY NW,3,3,2332,"$657,000",https://www.realtor.ca/real-estate/29514242/610-albany-wy-nw-edmonton-albany,Albany,53.6319877,-113.5564801
1815 17 AV NW,5,4,2801,"$839,000",https://www.realtor.ca/real-estate/29553372/1815-17-av-nw-edmonton-laurel,Satoo,53.4488557,-113.4597365
#55 2803 14 AV NW NW,3,3,1564,"$346,900",https://www.realtor.ca/real-estate/29550122/55-2803-14-av-nw-nw-edmonton-laurel,Twin Brooks,53.4472058,-113.5380959
#103 3353 16A AV NW,2,2,818,"$224,900",https://www.realtor.ca/real-estate/29549660/103-3353-16a-av-nw-edmonton-laurel,Laurel,53.4436560,-113.3931095
3008 17 AV AV NW NW,3,3,1333,"$409,999",https://www.realtor.ca/real-estate/29549634/3008-17-av-av-nw-nw-edmonton-laurel,Northwest Industrial,53.5518129,-113.6818169
2929 16A AV NW,3,3,1480,"$395,900",https://www.realtor.ca/real-estate/29545798/2929-16a-av-nw-edmonton-laurel,Laurel,53.4436560,-113.3931095
18939 78 AV NW,2,3,1149,"$525,000",https://www.realtor.ca/real-estate/29556000/18939-78-av-nw-edmonton-lymburn,Lymburn,53.5108552,-113.6505628
1380 GRAYDON HILL WY SW,7,5,3123,"$998,000",https://www.realtor.ca/real-estate/29555855/1380-graydon-hill-wy-sw-edmonton-graydon-hill,Graydon Hill,53.4234240,-113.5583420
