neighbourhood_number,neighbourhood,ward,population_2021,households_2021,area_sq_km,population_characteristic,households_characteristic,source_area_id,geography_level
6213,SUMMERSIDE,Karhiio,16760.0,5485.0,3.8780171126127243,total_population,sum_household_size_distribution,N6213,neighbourhood
6214,ELLERSLIE INDUSTRIAL,Karhiio,,,5.8603069968521595,,,N6214,neighbourhood
6216,THE ORCHARDS AT ELLERSLIE,Karhiio,6270.0,2075.0,3.5179237127304077,total_population,sum_household_size_distribution,N6216,neighbourhood
6230,FOREST HEIGHTS,Métis,4115.0,1890.0,1.613427709788084,total_population,sum_household_size_distribution,N6230,neighbourhood
6240,FULTON PLACE,Métis,2225.0,940.0,0.97020348533988,total_population,sum_household_size_distribution,N6240,neighbourhood
6250,GAINER INDUSTRIAL,Métis,,,0.33956286311149597,,,N6250,neighbourhood
6260,GIRARD INDUSTRIAL,Métis,,,0.4931751526892185,,,N6260,neighbourhood
6270,GOLD BAR,Métis,2820.0,1120.0,1.0358802489936352,total_population,sum_household_size_distribution,N6270,neighbourhood
6280,GREENVIEW,Karhiio,2825.0,1050.0,0.977745097130537,total_population,sum_household_size_distribution,N6280,neighbourhood
6290,HAZELDEAN,papastew,3245.0,1350.0,1.12357834354043,total_population,sum_household_size_distribution,N6290,neighbourhood
